stage,mu1,mu2,model,abs_total,rel_total,abs_primary,rel_primary,abs_secondary,rel_secondary
baseline,4.875000,0.022500,Case 1,1.278268295860e+02,1.483853542859e-02,5.674458344979e+01,6.736901315563e-03,1.145414798713e+02,6.340141347345e-02
baseline,4.875000,0.022500,Case 2,1.576238952686e+02,1.829747136741e-02,9.446901230780e+01,1.121566807975e-02,1.261780411690e+02,6.984252489504e-02
baseline,4.875000,0.022500,Case 3,1.152387566752e+02,1.337727282457e-02,5.459213285509e+01,6.481355387449e-03,1.014872901913e+02,5.617561127155e-02
baseline,4.875000,0.022500,Data-driven,1.639976531946e+02,1.903735698535e-02,8.526096206202e+01,1.012245843676e-02,1.400921075635e+02,7.754428916039e-02
baseline,4.560000,0.019000,Case 1,1.104627473710e+02,1.383753958741e-02,5.345845965490e+01,6.855451493447e-03,9.666546254004e+01,5.659250308265e-02
baseline,4.560000,0.019000,Case 2,2.118021918407e+02,2.653221365618e-02,8.857446647506e+01,1.135868789332e-02,1.923921317445e+02,1.126353924424e-01
baseline,4.560000,0.019000,Case 3,1.301068825387e+02,1.629833749904e-02,5.973597508087e+01,7.660472864805e-03,1.155829319800e+02,6.766767842929e-02
baseline,4.560000,0.019000,Data-driven,3.304427547101e+02,4.139417865750e-02,2.433826175723e+02,3.121110746336e-02,2.235113321603e+02,1.308540343357e-01
baseline,5.190000,0.026000,Case 1,2.303683649803e+02,2.395246536247e-02,9.831633199477e+01,1.044120012128e-02,2.083350245321e+02,1.063695734612e-01
baseline,5.190000,0.026000,Case 2,3.154956593750e+02,3.280354424461e-02,2.230797504260e+02,2.369108234557e-02,2.230984895384e+02,1.139073529539e-01
baseline,5.190000,0.026000,Case 3,1.494058092305e+02,1.553441363728e-02,6.659449515818e+01,7.072339221921e-03,1.337432953327e+02,6.828528861044e-02
baseline,5.190000,0.026000,Data-driven,3.355885776458e+02,3.489269797435e-02,1.866799203253e+02,1.982541829210e-02,2.788732701311e+02,1.423842719687e-01
enriched,4.875000,0.022500,Case 1,1.217942860335e+02,1.413825903500e-02,5.634956322560e+01,6.690003231090e-03,1.079748805728e+02,5.976664572199e-02
enriched,4.875000,0.022500,Case 2,1.598444185396e+02,1.855523660600e-02,1.392662099880e+02,1.653413693858e-02,7.845483346394e+01,4.342660266854e-02
enriched,4.875000,0.022500,Case 3,5.284659626563e+01,6.134597044360e-03,2.367197284940e+01,2.810413529112e-03,4.724828503003e+01,2.615304131278e-02
enriched,4.875000,0.022500,Data-driven,1.590297343180e+02,1.846066553102e-02,9.080142737001e+01,1.078024047961e-02,1.305586350451e+02,7.226728703280e-02
enriched,4.560000,0.019000,Case 1,7.574764346920e+01,9.488818991960e-03,3.029713086147e+01,3.885269279217e-03,6.942470275558e+01,4.064448254287e-02
enriched,4.560000,0.019000,Case 2,1.584077112079e+02,1.984354931376e-02,1.396932276993e+02,1.791409914609e-02,7.469139913724e+01,4.372785403236e-02
enriched,4.560000,0.019000,Case 3,4.998974826607e+01,6.262157488017e-03,2.157634866698e+01,2.766926182442e-03,4.509363713325e+01,2.639993366208e-02
enriched,4.560000,0.019000,Data-driven,1.566030205415e+02,1.961747781786e-02,8.851718354497e+01,1.135134199613e-02,1.291867418119e+02,7.563198780743e-02
enriched,5.190000,0.026000,Case 1,1.845579724242e+02,1.918934677614e-02,9.102000295377e+01,9.666329556826e-03,1.605521854340e+02,8.197309848035e-02
enriched,5.190000,0.026000,Case 2,1.614199292233e+02,1.678357731047e-02,1.319439093445e+02,1.401245077291e-02,9.299031313717e+01,4.747804631813e-02
enriched,5.190000,0.026000,Case 3,6.204502844546e+01,6.451108835542e-03,2.806639350579e+01,2.980652607057e-03,5.533410440565e+01,2.825192305857e-02
enriched,5.190000,0.026000,Data-driven,1.770318123794e+02,1.840681707507e-02,9.593874923376e+01,1.018870069510e-02,1.487817831248e+02,7.596348643407e-02
