mu1,mu2,model_label,n_tot,n_p,n_s,global_coeff_1based,local_secondary_coeff_1based,abs_error_l2_time,ref_l2_time,rel_error_percent
4.56,0.019,ANN (n_s=131),151,20,131,21,1,225.7986754878406,285.15477504054377,79.18460262702463
4.56,0.019,ANN (n_s=131),151,20,131,22,2,216.74978556884858,261.07002235009236,83.02362087294313
4.56,0.019,ANN (n_s=131),151,20,131,23,3,218.3009738783546,248.7434360698395,87.76150129929957
4.56,0.019,ANN (n_s=131),151,20,131,24,4,210.8298649000736,232.03534030870765,90.86110099417547
4.56,0.019,ANN (n_s=131),151,20,131,25,5,208.71079969550516,217.23156713702488,96.07756480615683
4.56,0.019,ANN (n_s=131),151,20,131,26,6,202.5101513828864,206.57590628041444,98.03183489752719
4.56,0.019,ANN (n_s=131),151,20,131,27,7,192.97400617780866,191.8455867395503,100.58819150204914
4.56,0.019,ANN (n_s=131),151,20,131,28,8,187.3340768328525,183.51579708141912,102.08062728776387
4.56,0.019,ANN (n_s=131),151,20,131,29,9,171.6691254229488,167.8838396102995,102.2547052899409
4.56,0.019,ANN (n_s=131),151,20,131,30,10,147.76268452255488,154.7634027050166,95.4765028035696
4.56,0.019,ANN (n_s=131),151,20,131,31,11,144.40666331807265,146.08320317664348,98.85233906286709
4.56,0.019,ANN (n_s=131),151,20,131,32,12,154.70969573225054,152.31775516987844,101.57036227306816
4.56,0.019,ANN (n_s=131),151,20,131,33,13,141.03576641577325,143.05535235874785,98.58824859771065
4.56,0.019,ANN (n_s=131),151,20,131,34,14,122.84121535787303,124.87878019552873,98.3683658388836
4.56,0.019,ANN (n_s=131),151,20,131,35,15,115.3243322127615,122.6115262171799,94.05668110556695
4.56,0.019,ANN (n_s=131),151,20,131,36,16,102.23276331942625,104.02278528336822,98.27920204302761
4.56,0.019,ANN (n_s=131),151,20,131,37,17,109.94620047181303,106.84262675505808,102.90480851230852
4.56,0.019,ANN (n_s=131),151,20,131,38,18,116.4775217816045,122.19439223863257,95.32149524025323
4.56,0.019,ANN (n_s=131),151,20,131,39,19,105.36978130443596,110.77826605297325,95.11773839649106
4.56,0.019,ANN (n_s=131),151,20,131,40,20,93.04342696708629,106.27015411982703,87.55367651219676
4.56,0.019,ANN (n_s=131),151,20,131,41,21,96.95545203585083,107.5519443432549,90.14755858472898
4.56,0.019,ANN (n_s=131),151,20,131,42,22,89.18639957287759,106.12795411190513,84.03667094047272
4.56,0.019,ANN (n_s=131),151,20,131,43,23,76.40960829519057,92.1181977931698,82.94735473087603
4.56,0.019,ANN (n_s=131),151,20,131,44,24,99.33788744837997,99.73656689753918,99.60026752317555
4.56,0.019,ANN (n_s=131),151,20,131,45,25,96.37143394887254,94.70390580674804,101.76078074913535
4.56,0.019,ANN (n_s=131),151,20,131,46,26,90.57052857887894,86.97475950670842,104.13426733521828
4.56,0.019,ANN (n_s=131),151,20,131,47,27,82.71325992711564,86.82296561844338,95.26656839920851
4.56,0.019,ANN (n_s=131),151,20,131,48,28,74.19479774564765,85.78800427195256,86.48621491467055
4.56,0.019,ANN (n_s=131),151,20,131,49,29,85.2848319113058,82.6164074553664,103.22989650376776
4.56,0.019,ANN (n_s=131),151,20,131,50,30,77.69087122919905,76.44357202821938,101.63166001782233
4.56,0.019,ANN (n_s=131),151,20,131,51,31,78.59671137317225,80.0419801270798,98.19436156925036
4.56,0.019,ANN (n_s=131),151,20,131,52,32,88.88837370142947,72.95290337468802,121.84350394513629
4.56,0.019,ANN (n_s=131),151,20,131,53,33,84.12738169566866,76.78509512378666,109.56212473273018
4.56,0.019,ANN (n_s=131),151,20,131,54,34,73.09621623443,71.9428553152084,101.60316255751637
4.56,0.019,ANN (n_s=131),151,20,131,55,35,94.88896295878338,72.70191755692801,130.51782696719405
4.56,0.019,ANN (n_s=131),151,20,131,56,36,77.82173031474125,69.99467686602763,111.18235528638111
4.56,0.019,ANN (n_s=131),151,20,131,57,37,86.51894903712692,72.79905206979346,118.84625771525157
4.56,0.019,ANN (n_s=131),151,20,131,58,38,98.21774565985652,67.45129978632069,145.61282876831285
4.56,0.019,ANN (n_s=131),151,20,131,59,39,62.291701061378454,69.51842971275073,89.60458589005387
4.56,0.019,ANN (n_s=131),151,20,131,60,40,111.25792886101792,64.49922125872774,172.49499558254433
4.56,0.019,ANN (n_s=131),151,20,131,61,41,84.02596005207994,72.72548181037921,115.5385402205585
4.56,0.019,ANN (n_s=131),151,20,131,62,42,78.51921978984791,64.90745376226248,120.97103682027253
4.56,0.019,ANN (n_s=131),151,20,131,63,43,71.67673550379179,60.38031151006408,118.7087872043271
4.56,0.019,ANN (n_s=131),151,20,131,64,44,66.12970793519511,57.14428335568313,115.72410056065277
4.56,0.019,ANN (n_s=131),151,20,131,65,45,91.89706265560989,58.59187001623926,156.84268590529672
4.56,0.019,ANN (n_s=131),151,20,131,66,46,95.22539351196485,57.08094315847006,166.82519286269826
4.56,0.019,ANN (n_s=131),151,20,131,67,47,77.30207972491472,55.047099435236674,140.42897903432896
4.56,0.019,ANN (n_s=131),151,20,131,68,48,93.11667725688322,52.47381616463028,177.4536026972783
4.56,0.019,ANN (n_s=131),151,20,131,69,49,71.85187465304129,53.064898970320606,135.4037716970465
4.56,0.019,ANN (n_s=131),151,20,131,70,50,84.40274663782037,52.36574125290374,161.1793218589074
4.56,0.019,ANN (n_s=131),151,20,131,71,51,80.78078542300021,51.25996309204636,157.59040886928452
4.56,0.019,ANN (n_s=131),151,20,131,72,52,66.36672237575216,49.3101238564563,134.59045969738037
4.56,0.019,ANN (n_s=131),151,20,131,73,53,87.02315948550279,49.85744987335465,174.54394419801767
4.56,0.019,ANN (n_s=131),151,20,131,74,54,53.2973004226996,47.61811445363352,111.92652425285758
4.56,0.019,ANN (n_s=131),151,20,131,75,55,54.3629214879882,48.937388024041475,111.0866837872126
4.56,0.019,ANN (n_s=131),151,20,131,76,56,52.75251080468782,53.08534496928324,99.37302062407619
4.56,0.019,ANN (n_s=131),151,20,131,77,57,64.1575808531105,46.45745188454769,138.09965516952963
4.56,0.019,ANN (n_s=131),151,20,131,78,58,69.57824753868277,44.86899341820426,155.06977589217203
4.56,0.019,ANN (n_s=131),151,20,131,79,59,37.89472668439548,38.11450528648976,99.42337280664592
4.56,0.019,ANN (n_s=131),151,20,131,80,60,68.1147141264892,43.71260427504372,155.82396715122525
4.56,0.019,ANN (n_s=131),151,20,131,81,61,66.21491526345991,42.30656740299899,156.51214297940447
4.56,0.019,ANN (n_s=131),151,20,131,82,62,52.996482542021774,44.12734085716196,120.0989715504698
4.56,0.019,ANN (n_s=131),151,20,131,83,63,68.45789334105216,40.60859982988302,168.57979252629988
4.56,0.019,ANN (n_s=131),151,20,131,84,64,61.61577919133553,42.919189439208886,143.56230859999965
4.56,0.019,ANN (n_s=131),151,20,131,85,65,53.813056694606615,38.38730811000494,140.18450197236217
4.56,0.019,ANN (n_s=131),151,20,131,86,66,53.05876482366231,40.95189260220432,129.56364517523255
4.56,0.019,ANN (n_s=131),151,20,131,87,67,57.0359108224021,36.38449251974828,156.7588466197376
4.56,0.019,ANN (n_s=131),151,20,131,88,68,65.42969757441375,36.091072681941604,181.29053173626482
4.56,0.019,ANN (n_s=131),151,20,131,89,69,48.825850999147384,35.060728483570244,139.2608000772933
4.56,0.019,ANN (n_s=131),151,20,131,90,70,49.23629849211511,33.69457160661348,146.1253137952083
4.56,0.019,ANN (n_s=131),151,20,131,91,71,45.5981866068811,35.95122068644328,126.83348641921236
4.56,0.019,ANN (n_s=131),151,20,131,92,72,59.26630086154568,35.381411332147955,167.5068874589964
4.56,0.019,ANN (n_s=131),151,20,131,93,73,50.53264132576055,33.01805358305483,153.04548827703874
4.56,0.019,ANN (n_s=131),151,20,131,94,74,59.71187628375126,34.772571776805336,171.7211964275286
