mu1,mu2,model_label,n_tot,n_p,n_s,nt,rel_error_percent_vs_hdm_state,rel_error_percent_vs_linear_state,model_file,linear_qN_path,hdm_path
4.875,0.0225,ANN (n_s=131),151,20,131,501,0.6333181967473144,0.5349869620728472,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_ann_mu_t_ns131.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_4.875+mu2_0.0225.npy
4.875,0.0225,GPR (n_s=131),151,20,131,501,0.4112552847521042,0.027279215175872687,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_gpr_mu_t_ns131.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_4.875+mu2_0.0225.npy
4.875,0.0225,ANN (n_s=141),151,10,141,501,0.5986498245929542,0.44743140636929923,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_ann_mu_t_ns141.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_4.875+mu2_0.0225.npy
4.875,0.0225,GPR (n_s=141),151,10,141,501,0.4106196545702077,0.014615556876072569,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_gpr_mu_t_ns141.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_4.875+mu2_0.0225.npy
4.875,0.0225,ANN (n_s=151),151,0,151,501,0.8493100997046865,0.7691423294326835,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/rom_data_driven_ann_mu_t_ntot151.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_4.875+mu2_0.0225.npy
4.875,0.0225,GPR (n_s=151),151,0,151,501,0.410618500064521,0.01462503854885104,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/rom_data_driven_gpr_mu_t_ntot151.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_4.875+mu2_0.0225.npy
4.56,0.019,ANN (n_s=131),151,20,131,501,5.299600160445186,5.244534536691807,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_ann_mu_t_ns131.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_4.56+mu2_0.019.npy
4.56,0.019,GPR (n_s=131),151,20,131,501,5.147204553551071,5.094945335808996,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_gpr_mu_t_ns131.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_4.56+mu2_0.019.npy
4.56,0.019,ANN (n_s=141),151,10,141,501,0.9537085495183428,0.8555973286004442,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_ann_mu_t_ns141.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_4.56+mu2_0.019.npy
4.56,0.019,GPR (n_s=141),151,10,141,501,9.342464999357102,9.294784644710843,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_gpr_mu_t_ns141.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_4.56+mu2_0.019.npy
4.56,0.019,ANN (n_s=151),151,0,151,501,1.7140710226780325,1.668893011418817,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/rom_data_driven_ann_mu_t_ntot151.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_4.56+mu2_0.019.npy
4.56,0.019,GPR (n_s=151),151,0,151,501,43.54390230251684,43.52460527428701,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/rom_data_driven_gpr_mu_t_ntot151.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_4.56+mu2_0.019.npy
5.19,0.026,ANN (n_s=131),151,20,131,501,3.447681916388765,3.4242619757960893,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_ann_mu_t_ns131.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_5.190_mu2_0.0260_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_5.19+mu2_0.026.npy
5.19,0.026,GPR (n_s=131),151,20,131,501,4.9255024737319975,4.921383393694466,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_gpr_mu_t_ns131.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_5.190_mu2_0.0260_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_5.19+mu2_0.026.npy
5.19,0.026,ANN (n_s=141),151,10,141,501,1.0142744050896002,0.918647606078859,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_ann_mu_t_ns141.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_5.190_mu2_0.0260_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_5.19+mu2_0.026.npy
5.19,0.026,GPR (n_s=141),151,10,141,501,8.944115734223702,8.946519550121865,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_gpr_mu_t_ns141.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_5.190_mu2_0.0260_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_5.19+mu2_0.026.npy
5.19,0.026,ANN (n_s=151),151,0,151,501,2.440537156019364,2.404780906797587,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/rom_data_driven_ann_mu_t_ntot151.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_5.190_mu2_0.0260_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_5.19+mu2_0.026.npy
5.19,0.026,GPR (n_s=151),151,0,151,501,43.878820003858245,43.885550731045164,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/rom_data_driven_gpr_mu_t_ntot151.pt,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_5.190_mu2_0.0260_ntot151/qN.npy,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/param_snaps/mu1_5.19+mu2_0.026.npy
