mu1,mu2,model_label,n_tot,n_p,n_s,global_coeff_1based,local_secondary_coeff_1based,abs_error_l2_time,ref_l2_time,rel_error_percent
4.875,0.0225,ANN (n_s=131),151,20,131,21,1,15.301790584830854,296.2115263539851,5.165832259526788
4.875,0.0225,ANN (n_s=131),151,20,131,22,2,12.43974885957225,280.92691073389426,4.428108658965642
4.875,0.0225,ANN (n_s=131),151,20,131,23,3,12.932206032294506,261.2336485120674,4.950436555916002
4.875,0.0225,ANN (n_s=131),151,20,131,24,4,12.646535801332611,248.4413629559965,5.090350355054421
4.875,0.0225,ANN (n_s=131),151,20,131,25,5,10.606045153772799,232.74443769607404,4.55694892593848
4.875,0.0225,ANN (n_s=131),151,20,131,26,6,13.868556779460892,221.2122928206632,6.269342721701334
4.875,0.0225,ANN (n_s=131),151,20,131,27,7,14.678704240719217,208.44153058927608,7.042120732476721
4.875,0.0225,ANN (n_s=131),151,20,131,28,8,14.993742376316064,195.74013481212296,7.660024547703255
4.875,0.0225,ANN (n_s=131),151,20,131,29,9,11.82115730520154,180.76913376419415,6.539367124822179
4.875,0.0225,ANN (n_s=131),151,20,131,30,10,10.735135732185315,157.27692411326953,6.825626704432469
4.875,0.0225,ANN (n_s=131),151,20,131,31,11,10.362067742364193,151.44241407185515,6.842249448987048
4.875,0.0225,ANN (n_s=131),151,20,131,32,12,11.551178454310499,164.99003416318777,7.001137076488813
4.875,0.0225,ANN (n_s=131),151,20,131,33,13,12.789322179175576,154.355441125711,8.28563093461644
4.875,0.0225,ANN (n_s=131),151,20,131,34,14,9.121977600193762,134.25995187496142,6.79426550717761
4.875,0.0225,ANN (n_s=131),151,20,131,35,15,10.027224442130574,122.01657502223894,8.217919934486765
4.875,0.0225,ANN (n_s=131),151,20,131,36,16,7.854300424169497,126.2467227487928,6.2213895562248185
4.875,0.0225,ANN (n_s=131),151,20,131,37,17,9.134334876306484,127.55772567513564,7.160942097360557
4.875,0.0225,ANN (n_s=131),151,20,131,38,18,11.78543766542889,130.06878483250725,9.060927016889783
4.875,0.0225,ANN (n_s=131),151,20,131,39,19,8.23168710315515,122.90689618395554,6.697498154078133
4.875,0.0225,ANN (n_s=131),151,20,131,40,20,9.047836194391277,105.44298400562161,8.58078541660856
4.875,0.0225,ANN (n_s=131),151,20,131,41,21,9.541026111071627,117.42448967774298,8.125243837342445
4.875,0.0225,ANN (n_s=131),151,20,131,42,22,10.470768228937091,111.12544395554187,9.42247594810613
4.875,0.0225,ANN (n_s=131),151,20,131,43,23,8.402363105583298,89.26016437130748,9.413340390715462
4.875,0.0225,ANN (n_s=131),151,20,131,44,24,9.701498350652724,102.7099487482832,9.445529346362257
4.875,0.0225,ANN (n_s=131),151,20,131,45,25,10.428970579781398,99.90647853457376,10.438733035888495
4.875,0.0225,ANN (n_s=131),151,20,131,46,26,9.077550857732968,83.53271431741287,10.867060805949054
4.875,0.0225,ANN (n_s=131),151,20,131,47,27,7.689414846919426,85.45488218354036,8.998215959626588
4.875,0.0225,ANN (n_s=131),151,20,131,48,28,10.669652373486576,91.1726269718879,11.70269271365456
4.875,0.0225,ANN (n_s=131),151,20,131,49,29,7.6695697618867875,80.05917124925676,9.579876536578547
4.875,0.0225,ANN (n_s=131),151,20,131,50,30,8.27647982547795,74.11683327543669,11.166801736820677
4.875,0.0225,ANN (n_s=131),151,20,131,51,31,9.544796377169444,79.29513184187321,12.03705215624491
4.875,0.0225,ANN (n_s=131),151,20,131,52,32,7.216356830812002,67.58723787329518,10.677099786708848
4.875,0.0225,ANN (n_s=131),151,20,131,53,33,9.618582455040823,72.23950274443519,13.314851417331731
4.875,0.0225,ANN (n_s=131),151,20,131,54,34,9.10180196810548,74.63069871242743,12.19578822808188
4.875,0.0225,ANN (n_s=131),151,20,131,55,35,7.074626803961448,56.13163114720919,12.603636593791007
4.875,0.0225,ANN (n_s=131),151,20,131,56,36,8.013339653588503,76.22636151967735,10.512556934151855
4.875,0.0225,ANN (n_s=131),151,20,131,57,37,6.94328371394129,55.867241397995485,12.428184281514238
4.875,0.0225,ANN (n_s=131),151,20,131,58,38,8.813546963151914,64.306354657996,13.705561464377016
4.875,0.0225,ANN (n_s=131),151,20,131,59,39,9.90158868056648,70.63799788388253,14.017368806011593
4.875,0.0225,ANN (n_s=131),151,20,131,60,40,6.235219959876571,53.25060818982116,11.709199522473119
4.875,0.0225,ANN (n_s=131),151,20,131,61,41,5.955525471572728,54.79728571293551,10.868285525622046
4.875,0.0225,ANN (n_s=131),151,20,131,62,42,7.356699892048592,51.51429946758298,14.280888933912477
4.875,0.0225,ANN (n_s=131),151,20,131,63,43,8.896368590438716,64.26547202038356,13.843154513230665
4.875,0.0225,ANN (n_s=131),151,20,131,64,44,6.795757374589075,51.51489894684767,13.191828992231624
4.875,0.0225,ANN (n_s=131),151,20,131,65,45,8.506913775583232,56.812599188694456,14.973639469176202
4.875,0.0225,ANN (n_s=131),151,20,131,66,46,6.967131406530809,49.10038906712177,14.189564561304234
4.875,0.0225,ANN (n_s=131),151,20,131,67,47,8.353191719772735,57.82868401658932,14.444720404456122
4.875,0.0225,ANN (n_s=131),151,20,131,68,48,7.552880237128935,46.345966480186654,16.29673693471872
4.875,0.0225,ANN (n_s=131),151,20,131,69,49,9.072924084921315,55.7836297223911,16.26449216387136
4.875,0.0225,ANN (n_s=131),151,20,131,70,50,8.137847135820168,45.92172031206824,17.721128652232874
4.875,0.0225,ANN (n_s=131),151,20,131,71,51,9.036154410956666,51.81175660669019,17.440355245145025
4.875,0.0225,ANN (n_s=131),151,20,131,72,52,8.304744648556662,51.24326965717849,16.206508101680587
4.875,0.0225,ANN (n_s=131),151,20,131,73,53,7.076627637457037,43.71275727582824,16.188929910788733
4.875,0.0225,ANN (n_s=131),151,20,131,74,54,10.138807457330131,49.34496190945856,20.546793563106792
4.875,0.0225,ANN (n_s=131),151,20,131,75,55,5.6555367530801925,38.5513098601376,14.670154590332269
4.875,0.0225,ANN (n_s=131),151,20,131,76,56,6.501067248301455,38.705595044605936,16.796195074147175
4.875,0.0225,ANN (n_s=131),151,20,131,77,57,8.586766967094457,46.764079732766234,18.361885909363803
4.875,0.0225,ANN (n_s=131),151,20,131,78,58,7.4153744302607985,42.63027643370418,17.39461962390205
4.875,0.0225,ANN (n_s=131),151,20,131,79,59,5.160202776416315,27.388534107870054,18.840741005315575
4.875,0.0225,ANN (n_s=131),151,20,131,80,60,8.052525676329529,41.75394364815449,19.285664952238463
4.875,0.0225,ANN (n_s=131),151,20,131,81,61,7.932438739399713,42.24271204273275,18.77824210570395
4.875,0.0225,ANN (n_s=131),151,20,131,82,62,7.1991163724766025,39.481404268187504,18.234195327944185
4.875,0.0225,ANN (n_s=131),151,20,131,83,63,7.9815085373588035,41.971188640141975,19.01663687867336
4.875,0.0225,ANN (n_s=131),151,20,131,84,64,8.06274238843991,36.19688036749214,22.274688610129324
4.875,0.0225,ANN (n_s=131),151,20,131,85,65,8.705234448236633,40.94691806548261,21.259803813110324
4.875,0.0225,ANN (n_s=131),151,20,131,86,66,6.8918132021706,33.55005954240282,20.541880688647552
4.875,0.0225,ANN (n_s=131),151,20,131,87,67,8.569747499250022,39.2563977420356,21.83019327337202
4.875,0.0225,ANN (n_s=131),151,20,131,88,68,8.789674457085736,34.11757961179248,25.762889856488098
4.875,0.0225,ANN (n_s=131),151,20,131,89,69,5.000337925425936,23.738399706931084,21.064342951331923
4.875,0.0225,ANN (n_s=131),151,20,131,90,70,8.27005671596313,33.14179940100932,24.95355371594962
4.875,0.0225,ANN (n_s=131),151,20,131,91,71,8.335118843728065,34.351116236079264,24.264477423221607
4.875,0.0225,ANN (n_s=131),151,20,131,92,72,6.491810888689678,31.782427347023475,20.425786922463168
4.875,0.0225,ANN (n_s=131),151,20,131,93,73,9.797069129641732,34.68128387939676,28.248865191123777
4.875,0.0225,ANN (n_s=131),151,20,131,94,74,6.677616812312993,29.30641801897214,22.78551001350658
4.875,0.0225,ANN (n_s=131),151,20,131,95,75,8.450684802196418,33.543267788475625,25.193385616114
4.875,0.0225,ANN (n_s=131),151,20,131,96,76,6.511190106451915,25.926404969207415,25.114126367250698
4.875,0.0225,ANN (n_s=131),151,20,131,97,77,7.537362334708156,25.274416495542855,29.82210226707853
4.875,0.0225,ANN (n_s=131),151,20,131,98,78,8.082618083964192,29.14234832981456,27.734958049674866
4.875,0.0225,ANN (n_s=131),151,20,131,99,79,8.280714641830297,28.317501743532684,29.24239121384179
4.875,0.0225,ANN (n_s=131),151,20,131,100,80,7.218609801400351,29.813145925472604,24.21284160834805
4.875,0.0225,ANN (n_s=131),151,20,131,101,81,8.506166668238224,28.978910041336498,29.352955843076018
4.875,0.0225,ANN (n_s=131),151,20,131,102,82,7.264161799117736,28.05523424982786,25.892358389993866
4.875,0.0225,ANN (n_s=131),151,20,131,103,83,5.33957528557459,15.985396028975316,33.402833911002354
4.875,0.0225,ANN (n_s=131),151,20,131,104,84,8.173018665974732,28.46962558697495,28.70785441489594
4.875,0.0225,ANN (n_s=131),151,20,131,105,85,6.402881248240175,26.16239906364236,24.473601341622366
4.875,0.0225,ANN (n_s=131),151,20,131,106,86,9.902277794342478,27.836785618272838,35.572633744904614
4.875,0.0225,ANN (n_s=131),151,20,131,107,87,6.437026594182369,23.91225045547337,26.919367569224224
4.875,0.0225,ANN (n_s=131),151,20,131,108,88,9.90397748605738,27.033802726530705,36.63553213820605
4.875,0.0225,ANN (n_s=131),151,20,131,109,89,5.775186603257704,19.59071474538877,29.479203175152442
4.875,0.0225,ANN (n_s=131),151,20,131,110,90,10.191193765005048,26.337615355520075,38.69444377343405
4.875,0.0225,ANN (n_s=131),151,20,131,111,91,6.468187611925406,23.90803053179458,27.054456046990385
4.875,0.0225,ANN (n_s=131),151,20,131,112,92,10.828043481255158,25.48318678540589,42.49093165795234
4.875,0.0225,ANN (n_s=131),151,20,131,113,93,7.5093695211704805,21.135146111228305,35.53024654597034
