mu1,mu2,model_label,model_file,n_tot,n_p,n_s,nt,rel_frob_percent,mean_coeff_rel_percent,median_coeff_rel_percent,p95_coeff_rel_percent,max_coeff_rel_percent,linear_qN_path
4.875,0.0225,ANN (n_s=131),/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_ann_mu_t_ns131.pt,151,20,131,501,11.020360656144137,27.577715768260866,21.064342951331923,64.42656996544301,77.39407099744713,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy
4.875,0.0225,GPR (n_s=131),/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_gpr_mu_t_ns131.pt,151,20,131,501,0.0001289395186344086,0.00029464027271134486,0.00021042366606728867,0.0009139181431991395,0.0011853703684082816,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy
4.875,0.0225,ANN (n_s=141),/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_ann_mu_t_ns141.pt,151,10,141,501,4.967693256195774,17.719237778606896,13.329595324719197,40.77227873627306,51.9428251515917,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy
4.875,0.0225,GPR (n_s=141),/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_gpr_mu_t_ns141.pt,151,10,141,501,7.872124066396993e-05,0.0002915352282038286,0.00020227099067725524,0.0009765380266598479,0.0012710901685616283,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy
4.875,0.0225,ANN (n_s=151),/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/rom_data_driven_ann_mu_t_ntot151.pt,151,0,151,501,1.7908857863114327,30.688424885330207,20.701738122938483,79.29737481050944,87.4802785753468,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy
4.875,0.0225,GPR (n_s=151),/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/rom_data_driven_gpr_mu_t_ntot151.pt,151,0,151,501,1.860065640005717e-05,0.00028744316722370696,0.00019203362650498036,0.0010160088393138802,0.0013575993758602855,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.875_mu2_0.0225_ntot151/qN.npy
4.56,0.019,ANN (n_s=131),/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_ann_mu_t_ns131.pt,151,20,131,501,102.9643317101394,142.20411613404178,143.56230859999965,201.5756955030509,272.0480112020619,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
4.56,0.019,GPR (n_s=131),/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_gpr_mu_t_ns131.pt,151,20,131,501,100.14150930301945,100.02694056692405,100.00064060749146,100.17140975521275,100.57260419069817,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
4.56,0.019,ANN (n_s=141),/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_ann_mu_t_ns141.pt,151,10,141,501,9.20551498429454,27.85802913056054,22.850935127297035,59.7048428353577,78.52377033198431,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
4.56,0.019,GPR (n_s=141),/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_gpr_mu_t_ns141.pt,151,10,141,501,100.1700770134018,100.03902700748039,100.00154780500343,100.26538813858792,100.57260419069817,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
4.56,0.019,ANN (n_s=151),/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/rom_data_driven_ann_mu_t_ntot151.pt,151,0,151,501,3.8420466287818225,49.20041805524339,49.25382510519993,101.06816582679392,118.74180509367916,/home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
