mu1,mu2,model_label,n_tot,n_p,n_s,global_coeff_1based,local_secondary_coeff_1based,abs_error_l2_time,ref_l2_time,rel_error_percent
4.56,0.019,ANN ns151,151,0,151,1,1,116.06565972765785,6216.832778314467,1.8669580454619537
4.56,0.019,ANN ns151,151,0,151,2,2,63.88978959993296,2828.8013958133733,2.258546312034838
4.56,0.019,ANN ns151,151,0,151,3,3,51.68598373683794,2199.4593194423887,2.3499404276293445
4.56,0.019,ANN ns151,151,0,151,4,4,47.71261462014677,1578.319598818821,3.0230008330286093
4.56,0.019,ANN ns151,151,0,151,5,5,38.083836465381516,1423.3108371171943,2.675721667553475
4.56,0.019,ANN ns151,151,0,151,6,6,67.06264787433565,1129.5147825159975,5.937297051124325
4.56,0.019,ANN ns151,151,0,151,7,7,37.331612744495466,1099.8310838942825,3.3943042064524733
4.56,0.019,ANN ns151,151,0,151,8,8,23.952479616342572,1007.3659612332015,2.377733667615722
4.56,0.019,ANN ns151,151,0,151,9,9,25.402469469880337,845.5183497907682,3.0043664310971403
4.56,0.019,ANN ns151,151,0,151,10,10,25.5601224472075,766.3098839623528,3.3354812435726346
4.56,0.019,ANN ns151,151,0,151,11,11,30.099483193974876,651.6938510107866,4.618653858294065
4.56,0.019,ANN ns151,151,0,151,12,12,28.556418109950446,589.107343234116,4.84740488094746
4.56,0.019,ANN ns151,151,0,151,13,13,27.725190489295642,517.4791495039825,5.357740599958659
4.56,0.019,ANN ns151,151,0,151,14,14,24.24774732544013,469.151731222723,5.1684232864801825
4.56,0.019,ANN ns151,151,0,151,15,15,25.67749991829132,429.2145841940655,5.982438822880603
4.56,0.019,ANN ns151,151,0,151,16,16,24.06443028102639,390.7320219814855,6.1588067850161154
4.56,0.019,ANN ns151,151,0,151,17,17,23.52679755943318,371.30642379595724,6.336221528007224
4.56,0.019,ANN ns151,151,0,151,18,18,23.27737627549565,337.1564944176357,6.9040272576395845
4.56,0.019,ANN ns151,151,0,151,19,19,25.398465245856766,325.7340343414989,7.797301653541387
4.56,0.019,ANN ns151,151,0,151,20,20,24.812374535582055,295.249986416062,8.403852896581279
4.56,0.019,ANN ns151,151,0,151,21,21,20.661795921045396,285.15477504054377,7.245817966087949
