mu1,mu2,model_label,n_tot,n_p,n_s,global_coeff_1based,local_secondary_coeff_1based,abs_error_l2_time,ref_l2_time,rel_error_percent
4.56,0.019,ANN (n_s=131),151,20,131,21,1,234.46740231558417,285.15477504054377,82.22461022518287
4.56,0.019,ANN (n_s=131),151,20,131,22,2,231.51907831247865,261.07002235009236,88.6808359797104
4.56,0.019,ANN (n_s=131),151,20,131,23,3,226.55490819378485,248.7434360698395,91.07975340912121
4.56,0.019,ANN (n_s=131),151,20,131,24,4,215.50974529583473,232.03534030870765,92.8779835903933
4.56,0.019,ANN (n_s=131),151,20,131,25,5,214.3242710280103,217.23156713702488,98.66166038972563
4.56,0.019,ANN (n_s=131),151,20,131,26,6,213.45172302477798,206.57590628041444,103.32846984344341
4.56,0.019,ANN (n_s=131),151,20,131,27,7,196.34898092893718,191.8455867395503,102.3474056744921
4.56,0.019,ANN (n_s=131),151,20,131,28,8,187.4480676819575,183.51579708141912,102.14274229416543
4.56,0.019,ANN (n_s=131),151,20,131,29,9,168.85009545145385,167.8838396102995,100.57555023961643
4.56,0.019,ANN (n_s=131),151,20,131,30,10,152.69389285854692,154.7634027050166,98.66279119591714
4.56,0.019,ANN (n_s=131),151,20,131,31,11,148.0261152674843,146.08320317664348,101.33000375716806
4.56,0.019,ANN (n_s=131),151,20,131,32,12,154.73504874691974,152.31775516987844,101.58700709207888
4.56,0.019,ANN (n_s=131),151,20,131,33,13,144.21148203379192,143.05535235874785,100.8081694644635
4.56,0.019,ANN (n_s=131),151,20,131,34,14,127.08446231383861,124.87878019552873,101.76625853876563
4.56,0.019,ANN (n_s=131),151,20,131,35,15,118.14052996573476,122.6115262171799,96.3535269567351
4.56,0.019,ANN (n_s=131),151,20,131,36,16,102.71695957157417,104.02278528336822,98.7446733826278
4.56,0.019,ANN (n_s=131),151,20,131,37,17,112.25154571099579,106.84262675505808,105.06251027348655
4.56,0.019,ANN (n_s=131),151,20,131,38,18,112.3114624551466,122.19439223863257,91.9121249327173
4.56,0.019,ANN (n_s=131),151,20,131,39,19,109.9896297459678,110.77826605297325,99.28809473635529
4.56,0.019,ANN (n_s=131),151,20,131,40,20,92.74317829431267,106.27015411982703,87.27114311863917
4.56,0.019,ANN (n_s=131),151,20,131,41,21,97.74964659368422,107.5519443432549,90.8859874087572
4.56,0.019,ANN (n_s=131),151,20,131,42,22,90.56591506926992,106.12795411190513,85.33653157373972
4.56,0.019,ANN (n_s=131),151,20,131,43,23,77.67760912467854,92.1181977931698,84.32384804041186
