point,mu1,mu2,method,mean_abs_coeff_error,max_abs_coeff_error,mean_rel_coeff_error_pct,max_rel_coeff_error_pct,mean_primary_rel_coeff_error_pct,mean_secondary_rel_coeff_error_pct
mu_v,4.875,0.0225,Case 2 ANN PROM,3.839608072551103,34.902515631346795,8.375276425181827,39.170121566672414,1.521581715380221,8.861354064174847
mu_v,4.875,0.0225,Case 2 oracle PROM,1.2998881266715938,39.42997516982384,0.11369560924894642,4.4449862509512705,1.7168036996266252,2.302545127000516e-12
mu_v,4.875,0.0225,Case 2 PG-oracle PROM,1.0389679550065813,31.60868045900913,0.09124124631648835,3.563282742276081,1.3777428193465935,2.296479993130874e-12
mu_1,4.56,0.019,Case 2 ANN PROM,16.702056809560514,50.45966303390369,38.24607326289491,120.57614392334727,2.978190848190393,40.74734151925693
mu_1,4.56,0.019,Case 2 oracle PROM,1.3552270818081724,41.54815988176957,0.12399910986508429,4.901213137395851,1.872386558933272,2.092254123737886e-12
mu_1,4.56,0.019,Case 2 PG-oracle PROM,1.1218206943075903,34.37903044107698,0.10305268644446569,4.055509464876977,1.5560955652817834,2.102724193162569e-12
mu_2,5.19,0.026,Case 2 ANN PROM,20.652297300523518,44.49405555048253,42.34205705065466,139.24804322757234,1.4219754630746344,45.24419049658231
mu_2,5.19,0.026,Case 2 oracle PROM,1.2363505757005853,37.15667587212612,0.10030169744152898,3.8150407351289135,1.5145556313367015,2.1550521366602075e-12
mu_2,5.19,0.026,Case 2 PG-oracle PROM,0.955696830442666,28.842283251865673,0.07784129630501986,2.961365162983772,1.1754035741754891,2.149691731519241e-12
mu_3,4.0,0.033,Case 2 ANN PROM,56.137905794708125,124.39408977009931,132.57296437161776,719.7294709341782,6.97172156558524,141.48085393232927
mu_3,4.0,0.033,Case 2 oracle PROM,1.3775922631201099,40.352026063168346,0.12400505498490122,5.725240227987152,1.8724763302409357,2.2037415568893997e-12
mu_3,4.0,0.033,Case 2 PG-oracle PROM,1.2317843410141827,36.05275001864614,0.11106802561139793,5.115248845577063,1.6771271867009119,2.212555222096141e-12
