point_key,point_tex,mu1,mu2,method_key,method,linear_prom_error_vs_hdm_pct,linear_prom_online_time_s,state_vs_hdm_pct,state_vs_linear_pct,q_low_vs_linear_pct,q_high_vs_linear_pct,q_total_vs_linear_pct,online_time_s
mu_v,$\mu^{(v)}$,4.875,0.0225,case2_ann,Case 2 ANN PROM,0.4130993207689208,1467.4538340568542,0.5506970653480892,0.3527874658281664,0.7414849395445972,1.9628448242791008,0.8357016976039043,155.02979564666748
mu_v,$\mu^{(v)}$,4.875,0.0225,case2_oracle,Case 2 oracle PROM,0.4130993207689208,1467.4538340568542,0.561214889966694,0.3503955907784663,0.8356648688488112,6.797257801626631e-13,0.8166506161033854,65.8680272102356
mu_v,$\mu^{(v)}$,4.875,0.0225,case2_pg_oracle,Case 2 PG-oracle PROM,0.4130993207689208,1467.4538340568542,0.5160567229862599,0.2816535995885161,0.6717242840203334,6.763246054517847e-13,0.6564402439850048,282.33738803863525
mu_1,$\mu^{(1)}$,4.56,0.019,case2_ann,Case 2 ANN PROM,0.45961726559531546,1237.246337890625,1.2348953077603126,1.1675035984800994,1.5597042770198102,10.67493891789553,2.7661853544561352,156.24338006973267
mu_1,$\mu^{(1)}$,4.56,0.019,case2_oracle,Case 2 oracle PROM,0.45961726559531546,1237.246337890625,0.6231480383481296,0.398802685796947,0.9407373639040878,6.630360596338297e-13,0.9184608160405227,68.30405783653259
mu_1,$\mu^{(1)}$,4.56,0.019,case2_pg_oracle,Case 2 PG-oracle PROM,0.45961726559531546,1237.246337890625,0.5796589552354185,0.3317345235526541,0.7825323008434635,6.659686089543153e-13,0.7640020298843283,280.63149785995483
mu_2,$\mu^{(2)}$,5.19,0.026,case2_ann,Case 2 ANN PROM,0.4717493148541442,1206.886132478714,1.2648145343853536,1.1723935536078636,0.6808551612224605,12.84788476546088,2.7305869752631167,157.23531985282898
mu_2,$\mu^{(2)}$,5.19,0.026,case2_oracle,Case 2 oracle PROM,0.4717493148541442,1206.886132478714,0.5808551183983638,0.30565084320996255,0.7119226068117465,6.959321572712048e-13,0.6966369718092813,69.45065093040466
mu_2,$\mu^{(2)}$,5.19,0.026,case2_pg_oracle,Case 2 PG-oracle PROM,0.4717493148541442,1206.886132478714,0.5426587916375157,0.23762317372893316,0.5534756815214088,6.940777631589201e-13,0.5415920481467573,280.21743726730347
mu_3,$\mu^{(3)}$,4.0,0.033,case2_ann,Case 2 ANN PROM,0.8675197737761431,1244.32896566391,3.868414099765242,3.763271627278953,3.7596143061000555,44.28181007196295,9.083896027317302,44.048182249069214
mu_3,$\mu^{(3)}$,4.0,0.033,case2_oracle,Case 2 oracle PROM,0.8675197737761431,1244.32896566391,0.9453907808187192,0.3879251243235117,0.9267499199043424,8.001339918455348e-13,0.9103276364552032,70.90901899337769
mu_3,$\mu^{(3)}$,4.0,0.033,case2_pg_oracle,Case 2 PG-oracle PROM,0.8675197737761431,1244.32896566391,0.930305910550916,0.34767212064888675,0.8305882344903376,8.018399347177532e-13,0.8158699646277102,275.1158666610718
