point,mu1,mu2,method,mean_abs_coeff_error,max_abs_coeff_error,mean_rel_coeff_error_pct,max_rel_coeff_error_pct,mean_primary_rel_coeff_error_pct,mean_secondary_rel_coeff_error_pct
mu_v,4.875,0.0225,Case 2 ANN PROM,3.839608072551103,34.902515631346795,8.375276425181827,39.170121566672414,1.521581715380221,8.861354064174847
mu_v,4.875,0.0225,Case 2 oracle PROM,0.0015447459841221706,0.04956947531768173,0.00013850743653828998,0.00558802371305039,0.0020914622596184167,2.2772881034975834e-12
mu_v,4.875,0.0225,Case 2 PG-oracle PROM,0.0010550493056415984,0.03466242179322425,9.601024142868867e-05,0.003907534499627833,0.0014497546133862742,2.2827606016146947e-12
mu_1,4.56,0.019,Case 2 ANN PROM,16.702056809560514,50.45966303390369,38.24607326289491,120.57614392334727,2.978190848190393,40.74734151925693
mu_1,4.56,0.019,Case 2 oracle PROM,0.0010792270440509023,0.03476408130927591,0.0001011218470408796,0.0041009318464975495,0.001526939860804753,2.0930871559403013e-12
mu_1,4.56,0.019,Case 2 PG-oracle PROM,0.0007733603330402185,0.025220294028643637,7.333898243781125e-05,0.002975102550243428,0.0011074186054442082,2.082747658454197e-12
mu_2,5.19,0.026,Case 2 ANN PROM,20.652297300523518,44.49405555048253,42.34205705065466,139.24804322757234,1.4219754630746344,45.24419049658231
mu_2,5.19,0.026,Case 2 oracle PROM,0.0021918535760392962,0.06989085520154116,0.00018240817122768747,0.007176004132460597,0.0027543633552796296,2.1459894133898253e-12
mu_2,5.19,0.026,Case 2 PG-oracle PROM,0.0014333736550299445,0.04720177241963194,0.00012137317013939323,0.004846415356715715,0.0018327348387245155,2.1546328075513274e-12
mu_3,4.0,0.033,Case 2 ANN PROM,56.137905794708125,124.39408977009931,132.57296437161776,719.7294709341782,6.97172156558524,141.48085393232927
mu_3,4.0,0.033,Case 2 oracle PROM,0.00046370479572615847,0.014333010889367592,4.310960427451892e-05,0.0020336012472713517,0.0006509549933547031,2.2120945087871407e-12
mu_3,4.0,0.033,Case 2 PG-oracle PROM,0.0003659730306545803,0.011392803260152448,3.427535407743382e-05,0.001616437683512106,0.0005175578155184168,2.202186800861476e-12
