scope,metric,statistic,baseline_basis,candidate_basis,baseline_value,candidate_value,candidate_over_baseline,reduction_percent
"mu=(4.875,0.0225)",coordinate_sigma_max,mean,Euclidean POD,LSPG-sensitive POD,0.03076218434316513,0.015541144263840628,0.5052028845049693,49.47971154950307
"mu=(4.875,0.0225)",coordinate_sigma_max,p95,Euclidean POD,LSPG-sensitive POD,0.03665533291625757,0.02172079782778762,0.5925685595984287,40.743144040157134
"mu=(4.875,0.0225)",coordinate_sigma_max,max,Euclidean POD,LSPG-sensitive POD,0.03773905581533747,0.02230732721924444,0.5910939406750753,40.89060593249248
"mu=(4.875,0.0225)",mass_state_gain,mean,Euclidean POD,LSPG-sensitive POD,0.030762184343165116,0.016049079062483228,0.5217145467775953,47.828545322240466
"mu=(4.875,0.0225)",mass_state_gain,p95,Euclidean POD,LSPG-sensitive POD,0.036655332916257534,0.02264576795236022,0.6178028175080704,38.21971824919296
"mu=(4.875,0.0225)",mass_state_gain,max,Euclidean POD,LSPG-sensitive POD,0.037739055815337444,0.023387917250575853,0.619727143281386,38.0272856718614
all_points,coordinate_sigma_max,mean,Euclidean POD,LSPG-sensitive POD,0.030780302027504366,0.015481301130102461,0.5029613132538086,49.703868674619144
all_points,coordinate_sigma_max,p95,Euclidean POD,LSPG-sensitive POD,0.03668016068660346,0.022442838390432037,0.6118522375674527,38.814776243254734
all_points,coordinate_sigma_max,max,Euclidean POD,LSPG-sensitive POD,0.04087696723004104,0.024332108573806164,0.5952522954277333,40.47477045722667
all_points,mass_state_gain,mean,Euclidean POD,LSPG-sensitive POD,0.03078030202750435,0.015990568481860125,0.5195065489471622,48.04934510528378
all_points,mass_state_gain,p95,Euclidean POD,LSPG-sensitive POD,0.03668016068660343,0.02338792415514995,0.6376178216605207,36.23821783394793
all_points,mass_state_gain,max,Euclidean POD,LSPG-sensitive POD,0.040876967230041,0.02559164921116548,0.6260652623063937,37.39347376936063
"mu=(5.190,0.0260)",coordinate_sigma_max,mean,Euclidean POD,LSPG-sensitive POD,0.03321241635213301,0.016348568539110327,0.49224267110755904,50.7757328892441
"mu=(5.190,0.0260)",coordinate_sigma_max,p95,Euclidean POD,LSPG-sensitive POD,0.039376978406289176,0.023694129332730737,0.6017254317549764,39.82745682450236
"mu=(5.190,0.0260)",coordinate_sigma_max,max,Euclidean POD,LSPG-sensitive POD,0.04087696723004104,0.024332108573806164,0.5952522954277333,40.47477045722667
"mu=(5.190,0.0260)",mass_state_gain,mean,Euclidean POD,LSPG-sensitive POD,0.033212416352133005,0.016899248791133675,0.5088232247831722,49.11767752168278
"mu=(5.190,0.0260)",mass_state_gain,p95,Euclidean POD,LSPG-sensitive POD,0.03937697840628914,0.024744949326568573,0.6284115828099295,37.15884171900705
"mu=(5.190,0.0260)",mass_state_gain,max,Euclidean POD,LSPG-sensitive POD,0.040876967230041,0.02559164921116548,0.6260652623063937,37.39347376936063
"mu=(4.560,0.0190)",coordinate_sigma_max,mean,Euclidean POD,LSPG-sensitive POD,0.028366305387214952,0.014554190587356432,0.5130802333502406,48.69197666497595
"mu=(4.560,0.0190)",coordinate_sigma_max,p95,Euclidean POD,LSPG-sensitive POD,0.03381873864163197,0.019758700450255184,0.5842530278740669,41.574697212593314
"mu=(4.560,0.0190)",coordinate_sigma_max,max,Euclidean POD,LSPG-sensitive POD,0.034656034038054076,0.020357130415757207,0.5874050791098615,41.25949208901385
"mu=(4.560,0.0190)",mass_state_gain,mean,Euclidean POD,LSPG-sensitive POD,0.02836630538721494,0.015023377591963474,0.5296205264269173,47.037947357308276
"mu=(4.560,0.0190)",mass_state_gain,p95,Euclidean POD,LSPG-sensitive POD,0.033818738641631936,0.02054324162023602,0.6074514439443534,39.254855605564664
"mu=(4.560,0.0190)",mass_state_gain,max,Euclidean POD,LSPG-sensitive POD,0.034656034038054055,0.021313142582222073,0.6149908139754012,38.500918602459876
