basis,basis_path,mu1,mu2,step,time,coordinate_sigma_max,coordinate_fro,mass_state_gain,hll_rank,hll_condition,hll_min_kept_eigenvalue,hll_max_eigenvalue,cancellation_relative_residual,coordinate_sigma_1,coordinate_sigma_2,coordinate_sigma_3,coordinate_sigma_4,coordinate_sigma_5,coordinate_sigma_6,coordinate_sigma_7,coordinate_sigma_8,coordinate_sigma_9,coordinate_sigma_10
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,1,0.05,0.012697680381859,0.014306107097298628,0.012697680381858992,10,1.0038549726829977,0.9984602285363278,1.002309265442395,0.999999295428315,0.012697680381859,0.0037069098136421758,0.0034138794159763904,0.002591084103441218,0.002335580253563786,0.0018868408105387324,0.0011482515640145804,0.0008101709863183331,0.00042064183733062733,0.0003965371777312777
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,1,0.05,0.014908039111861636,0.015589465123279805,0.01761512891888534,10,1.0071442182804875,0.993906723649322,1.001007410233517,0.9999990914160435,0.014908039111861636,0.0037809115633454615,0.0018990777757984878,0.0010317416224260734,0.0007274169132975842,0.0006531606990089513,0.0006073779012956002,0.0005002077501570114,0.00037947185463959774,0.00031087679890806695
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,2,0.1,0.019691014061829548,0.020772031076512737,0.019691014061829534,10,1.0039330692003596,0.9984483478744919,1.002375314319667,0.9999985158595425,0.019691014061829548,0.0037116046694505547,0.0034170166900304587,0.0026282277537636864,0.002340247914449454,0.0018930083797796544,0.001156667789753465,0.0008081591654176241,0.0004175075027463319,0.00039508441908295093
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,2,0.1,0.012651574837261042,0.013474830582014959,0.014231048949752639,10,1.0071835445623771,0.9938691297470353,1.001008632929744,0.9999993214868395,0.012651574837261042,0.0038654922541499145,0.0019018757981820425,0.0010391817082528992,0.000740791905506518,0.0006691257877627471,0.0006060723683399435,0.0005058860513684415,0.00038655696254559057,0.0003169860324649868
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,3,0.15000000000000002,0.025058316709300688,0.025923666054891967,0.025058316709300678,10,1.0040113490975495,0.9984260583266896,1.0024310937947283,0.9999976901945461,0.025058316709300688,0.003712963385899724,0.003423177087875429,0.002678975670202602,0.002343394346946174,0.0018974481061461888,0.0011654177802308376,0.0008085294817241883,0.000421732519896863,0.00039305607229042747
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,3,0.15000000000000002,0.011445653203117448,0.012383071370318757,0.012436684230656457,10,1.0072620585532097,0.9937923923548897,1.0010093708979053,0.9999994272520218,0.011445653203117448,0.003959755837850015,0.001907175924847638,0.0010508563062139533,0.0007526550156594792,0.0006800186587364673,0.0006045125285353702,0.0005143357360803314,0.0003915242591969691,0.0003225076672385126
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,4,0.2,0.028523443958557278,0.02929562242821836,0.028523443958557264,10,1.0040933428882477,0.9983849397848191,1.002471671677821,0.9999970523170385,0.028523443958557278,0.0037137326546023285,0.00343542044077516,0.002748549753017632,0.0023463212898907383,0.0019011868519280964,0.0011751597180212168,0.0008115343277881681,0.0004298123573639226,0.00039258959268479154
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,4,0.2,0.010901807624817836,0.011906398394540538,0.01165380421434332,10,1.0073881724723897,0.9936680780322343,1.0010094691730445,0.999999470765408,0.010901807624817836,0.004026362314139641,0.0019118869356087094,0.001054363373731718,0.0007560626667695925,0.0006847632235222689,0.0006030536589229933,0.0005191104389679539,0.0003934315422604681,0.00032535643168125753
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,5,0.25,0.030441919705491788,0.031180388139257154,0.030441919705491767,10,1.0041924927331123,0.9983164134490533,1.0025018477577852,0.999996663024915,0.030441919705491788,0.0037148310319038216,0.0034633971555373044,0.0028526677447490096,0.00234950467961201,0.0019045344330011608,0.0011863046793153871,0.0008181309182598661,0.0004408479095287458,0.00039357201080368967
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,5,0.25,0.01071847634766551,0.011755436455736137,0.011372149908511056,10,1.0075513480371723,0.9935068538303945,1.0010091698609838,0.9999994843709652,0.01071847634766551,0.004072028984316643,0.0019164720403645635,0.0010541955128039076,0.0007554282018456858,0.0006871949709572694,0.0006017507633490567,0.0005208854445297912,0.00039435518843809536,0.00032724211394681693
