n,point,mu1,mu2,relative_error_percent
0,verification,4.875,0.0225,1.0357796483951622
0,offgrid1,4.56,0.019,1.674665944848374
0,offgrid2,5.19,0.026,1.8421447925058603
0,extrapolation20pct,4.0,0.033,3.213749507818647
3,verification,4.875,0.0225,1.1247162930426993
3,offgrid1,4.56,0.019,1.8161843263757635
3,offgrid2,5.19,0.026,2.1677411387760004
3,extrapolation20pct,4.0,0.033,5.293995229148495
5,verification,4.875,0.0225,1.1428855768355655
5,offgrid1,4.56,0.019,1.696590920420567
5,offgrid2,5.19,0.026,2.010583897908644
5,extrapolation20pct,4.0,0.033,5.156750798635275
10,verification,4.875,0.0225,1.012930583352507
10,offgrid1,4.56,0.019,1.4273632069891637
10,offgrid2,5.19,0.026,1.670407948232135
10,extrapolation20pct,4.0,0.033,1.8978048358717035
20,verification,4.875,0.0225,0.999400302856959
20,offgrid1,4.56,0.019,1.3282877658758352
20,offgrid2,5.19,0.026,1.5054803540184702
20,extrapolation20pct,4.0,0.033,1.6582600411039627
30,verification,4.875,0.0225,0.9864171718982356
30,offgrid1,4.56,0.019,1.2828942322727006
30,offgrid2,5.19,0.026,1.4382995780350458
30,extrapolation20pct,4.0,0.033,1.6088103631777266
50,verification,4.875,0.0225,0.9662807934956158
50,offgrid1,4.56,0.019,1.2289658685026323
50,offgrid2,5.19,0.026,1.323977754789037
50,extrapolation20pct,4.0,0.033,1.555782535619964
100,verification,4.875,0.0225,0.7439658355070287
100,offgrid1,4.56,0.019,0.8578453869161892
100,offgrid2,5.19,0.026,0.8325879786502995
100,extrapolation20pct,4.0,0.033,1.1001890527613352
151,verification,4.875,0.0225,0.4130993207689208
151,offgrid1,4.56,0.019,0.45961726559531546
151,offgrid2,5.19,0.026,0.4717493148541442
151,extrapolation20pct,4.0,0.033,0.8675197737761431
