method,verification,offgrid1,offgrid2,in_domain_mean,extrapolation
Linear PROM (151),0.41038762075217133,0.4498238514249865,0.4632380821027418,0.4411498514266332,0.8498882898168034
PROM-ANN Case 1,0.417701030965791,0.5432272804780294,0.7356750683585283,0.5655344599341162,1.6732332039211673
PROM-ANN Case 2 (10),1.1628604941081624,1.9003291424040092,1.7579980917476823,1.6070625760866177,2.696205507096044
PROM-ANN Case 2 (20),1.1575428433074209,1.5564878193414968,1.6649193427672093,1.4596500018053755,2.2008146041344285
PROM-ANN Case 3,0.4075099501643657,0.511537975241038,0.5627149648489691,0.49392096341812425,1.5209521816818232
baseline,1.1628604427833116,1.9003290345727137,1.7579981700469431,1.607062549134323,2.69620560303984
baseline_known_initial,1.1617896760205235,1.9465737652787003,1.7433209466579027,1.6172281293190423,2.642831575060147
case1_known_initial,0.4177046613588098,0.5425365008274878,0.7364606479427273,0.5655672700430082,1.672865600179527
case3_known_initial,0.40757789834976793,0.5117571963783124,0.5627632883979364,0.4940327943753389,1.5207566398725856
krylov3,0.6863647659885772,0.6355409529691529,0.673890609680873,0.6652654428795344,1.0233122893672442
krylov3_known_initial,0.4115447610884367,0.44566222894055396,0.4831449933634521,0.4467839944641476,0.8502504741263834
