point,model,online_unknowns,state_error_percent,coefficient_error_percent,iterations
0,"Case 2, n=10",10,1.161789814593225,2.654634195480542,1499
0,"Case 2 + B3, n=10",13,0.41154475272718916,0.08689534069284388,1501
0,"Case 2, n=13",13,1.156946135436176,2.6426214605376983,1500
1,"Case 2, n=10",10,1.9465738583186922,4.454247467470239,1499
1,"Case 2 + B3, n=10",13,0.4456622413517306,0.26626572281753313,1505
1,"Case 2, n=13",13,1.677767920541529,3.828266709217163,1500
2,"Case 2, n=10",10,1.7433209253039528,3.925675087064649,1500
2,"Case 2 + B3, n=10",13,0.483145004465455,0.29081933852655856,1504
2,"Case 2, n=13",13,1.703546564281769,3.8416475723211025,1500
3,"Case 2, n=10",10,2.6428313903488245,6.104201758783119,1500
3,"Case 2 + B3, n=10",13,0.8502504776064158,0.4413454872313862,1526
3,"Case 2, n=13",13,2.409175420546378,5.5254630714039195,1500
