label,primary_modes,secondary_modes,n_s,best_val_mse,val_rel_frob_percent,train_rel_frob_percent,epochs_ran,hidden_dims,activation,batch_size,lr,weight_decay,dropout,trainable_parameters,model_path
np10_B01_A10_like_b128_lr5e4,10,141,141,0.02952026203274727,2.3365145549178123,1.9536757841706276,6000,"(256, 512, 512, 256)",silu,128,0.0005,1e-06,0.0,562829,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/case2_ann_ntot151_np10_B01_A10_like_b128_lr5e4.pt
np10_B00_current_b128_lr1e3,10,141,141,0.062392447143793106,3.3968359231948853,2.9619453474879265,5000,"(32, 64, 128, 256, 256)",elu,128,0.001,1e-06,0.0,145613,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/case2_ann_ntot151_np10_B00_current_b128_lr1e3.pt
np10_B02_A10_elu_b128_lr5e4,10,141,141,0.06282442063093185,3.408573940396309,2.9828691855072975,6000,"(256, 512, 512, 256)",elu,128,0.0005,1e-06,0.0,562829,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/case2_ann_ntot151_np10_B02_A10_elu_b128_lr5e4.pt
np10_B04_deep_silu_b128_lr5e4,10,141,141,0.22095540165901184,6.392352283000946,6.133723631501198,6000,"(128, 256, 512, 512, 256, 128)",silu,128,0.0005,1e-06,0.0,610189,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/case2_ann_ntot151_np10_B04_deep_silu_b128_lr5e4.pt
np10_B03_medium_silu_b128_lr1e3,10,141,141,0.3055723011493683,7.517363131046295,7.103633880615234,3611,"(128, 256, 256, 128)",silu,128,0.001,1e-06,0.0,150413,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/case2_ann_ntot151_np10_B03_medium_silu_b128_lr1e3.pt
np20_B01_A10_like_b128_lr5e4,20,131,131,0.04034344106912613,4.550356045365334,3.7728551775217056,6000,"(256, 512, 512, 256)",silu,128,0.0005,1e-06,0.0,560259,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/case2_ann_ntot151_np20_B01_A10_like_b128_lr5e4.pt
np20_B02_A10_elu_b128_lr5e4,20,131,131,0.05723223462700844,5.4197512567043304,4.493110626935959,6000,"(256, 512, 512, 256)",elu,128,0.0005,1e-06,0.0,560259,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/case2_ann_ntot151_np20_B02_A10_elu_b128_lr5e4.pt
np20_B00_current_b128_lr1e3,20,131,131,0.08741217106580734,6.697997450828552,5.831257626414299,5000,"(32, 64, 128, 256, 256)",elu,128,0.001,1e-06,0.0,143043,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/case2_ann_ntot151_np20_B00_current_b128_lr1e3.pt
np20_B03_medium_silu_b128_lr1e3,20,131,131,0.41961348056793213,14.675186574459076,13.738524913787842,4969,"(128, 256, 256, 128)",silu,128,0.001,1e-06,0.0,149123,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/case2_ann_ntot151_np20_B03_medium_silu_b128_lr1e3.pt
np20_B04_deep_silu_b128_lr5e4,20,131,131,0.4228297472000122,14.7313192486763,13.832876086235046,6000,"(128, 256, 512, 512, 256, 128)",silu,128,0.0005,1e-06,0.0,608899,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/case2_ann_ntot151_np20_B04_deep_silu_b128_lr5e4.pt
