label,best_val_mse,val_rel_frob_percent,train_rel_frob_percent,epochs_ran,hidden_dims,activation,batch_size,lr,weight_decay,dropout,trainable_parameters,model_path
A10_silu_wide_b128_lr5e4,0.09029442816972733,0.9075067069767137,0.8243847725662422,6000,"(256, 512, 512, 256)",silu,128,0.0005,1e-06,0.0,565399,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/rom_data_driven_ann_mu_t_ntot151_A10_silu_wide_b128_lr5e4.pt
A05_wide_b128_lr5e4,0.22613748908042908,1.4361693906896156,1.2874100406805495,6000,"(256, 512, 512, 256)",elu,128,0.0005,1e-06,0.0,565399,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/rom_data_driven_ann_mu_t_ntot151_A05_wide_b128_lr5e4.pt
A00_current_b128_lr1e3,0.2368113249540329,1.4696726648967495,1.3200531633001362,5000,"(32, 64, 128, 256, 256)",elu,128,0.001,1e-06,0.0,148183,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/rom_data_driven_ann_mu_t_ntot151_A00_current_b128_lr1e3.pt
A06_wide_b256_lr5e4,0.24359628558158875,1.4905779310121132,1.3854046551914276,6000,"(256, 512, 512, 256)",elu,256,0.0005,1e-06,0.0,565399,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/rom_data_driven_ann_mu_t_ntot151_A06_wide_b256_lr5e4.pt
A07_deep_wide_b128_lr5e4,0.26865342259407043,1.565364797034984,1.4900826588164893,6000,"(128, 256, 512, 512, 256, 128)",elu,128,0.0005,1e-06,0.0,611479,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/rom_data_driven_ann_mu_t_ntot151_A07_deep_wide_b128_lr5e4.pt
A09_silu_medium_b128_lr1e3,0.3957301080226898,1.8998481719377471,1.826588928642569,5000,"(128, 256, 256, 128)",silu,128,0.001,1e-06,0.0,151703,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/rom_data_driven_ann_mu_t_ntot151_A09_silu_medium_b128_lr1e3.pt
A04_medium_b128_lr1e3,0.5507972240447998,2.2413786685365658,2.136221543275947,5000,"(128, 256, 256, 128)",elu,128,0.001,1e-06,0.0,151703,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/rom_data_driven_ann_mu_t_ntot151_A04_medium_b128_lr1e3.pt
A02_compact128_b64_lr1e3,0.8124799132347107,2.722235283500724,2.576331882603894,3923,"(128, 128, 128)",elu,64,0.001,1e-06,0.0,53015,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/rom_data_driven_ann_mu_t_ntot151_A02_compact128_b64_lr1e3.pt
A08_deep_wide_reg_b128_lr5e4,1.1324399709701538,3.213860095370282,3.0379194987227867,2467,"(128, 256, 512, 512, 256, 128)",elu,128,0.0005,1e-05,0.02,611479,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/rom_data_driven_ann_mu_t_ntot151_A08_deep_wide_reg_b128_lr5e4.pt
A11_small_b64_lr1e3,1.5764716863632202,3.7919486951599124,3.607971181380764,5000,"(32, 64, 128)",elu,64,0.001,1e-06,0.0,30039,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/rom_data_driven_ann_mu_t_ntot151_A11_small_b64_lr1e3.pt
A03_bottleneck_b64_lr1e3,2.0433104038238525,4.317044818698027,4.213785760600629,5000,"(64, 128, 256, 128, 64)",elu,64,0.001,1e-06,0.0,92567,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/rom_data_driven_ann_mu_t_ntot151_A03_bottleneck_b64_lr1e3.pt
A01_compact64_b64_lr1e3,2.572922945022583,4.844319339340473,4.67717146668364,3058,"(64, 64, 64, 64)",elu,64,0.001,1e-06,0.0,22551,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/mlspg_hprom_main/Stage3/models/rom_data_driven_ann_mu_t_ntot151_A01_compact64_b64_lr1e3.pt
