stage,point,mu1,mu2,method,rel_error_percent,online_time_s,speedup_vs_linear
baseline,v,4.875,0.0225,Linear PROM,0.4103946501647566,136.65660190582275,1.0
baseline,v,4.875,0.0225,PROM-ANN Case 1,0.6199057712076972,15.41653299331665,8.864288875135927
baseline,v,4.875,0.0225,PROM-ANN Case 2,1.238761821566358,5.813126087188721,23.508281061887494
baseline,v,4.875,0.0225,PROM-ANN Case 3,0.7807671873818443,18.07182741165161,7.5618585100981495
baseline,v,4.875,0.0225,PROM-POD-AE,0.7852766775193548,11.664212226867676,11.715887815470648
baseline,v,4.875,0.0225,POD-NN-ROM,0.8356820413277564,0.005199432373046875,26282.984776228906
baseline,v,4.875,0.0225,POD-DL-ROM,0.9882834588471038,0.00867915153503418,15745.387248303712
baseline,1,4.56,0.019,Linear PROM,0.4498214985280911,134.31848692893982,1.0
baseline,1,4.56,0.019,PROM-ANN Case 1,0.8228538896411896,16.396618604660034,8.19184065736368
baseline,1,4.56,0.019,PROM-ANN Case 2,2.8715158137813805,5.541010856628418,24.240791148831935
baseline,1,4.56,0.019,PROM-ANN Case 3,0.778200584447847,18.86953330039978,7.1182728682587015
baseline,1,4.56,0.019,PROM-POD-AE,0.8680276686705424,13.897077560424805,9.665232589004416
baseline,1,4.56,0.019,POD-NN-ROM,1.8862069778829982,0.005310535430908203,25292.833213612284
baseline,1,4.56,0.019,POD-DL-ROM,1.9448659116653855,0.008973836898803711,14967.787853024789
baseline,2,5.19,0.026,Linear PROM,0.4632370582853612,138.91313004493713,1.0
baseline,2,5.19,0.026,PROM-ANN Case 1,1.0144032870050252,16.567076921463013,8.384890750701599
baseline,2,5.19,0.026,PROM-ANN Case 2,1.5005991758073356,5.49899697303772,25.26153964551096
baseline,2,5.19,0.026,PROM-ANN Case 3,1.0223354964722438,18.345453023910522,7.572074119068354
baseline,2,5.19,0.026,PROM-POD-AE,1.5282764729219163,12.534897327423096,11.082111517661284
baseline,2,5.19,0.026,POD-NN-ROM,1.6669732795210117,0.005015850067138672,27694.83301644643
baseline,2,5.19,0.026,POD-DL-ROM,2.9671175597376824,0.008128643035888672,17089.338212002112
