stage,point,mu1,mu2,method,rel_error_percent,online_time_s,speedup_vs_linear
enriched,v,4.875,0.0225,Linear PROM,0.4103946501647566,136.65660190582275,1.0
enriched,v,4.875,0.0225,PROM-ANN Case 1,0.5632179264578637,16.18499445915222,8.443413573647952
enriched,v,4.875,0.0225,PROM-ANN Case 2,0.6491020336716101,5.9250781536102295,23.064101158320764
enriched,v,4.875,0.0225,PROM-ANN Case 3,0.4928555114335321,16.54033637046814,8.262020725879287
enriched,v,4.875,0.0225,PROM-POD-AE,0.585107708086065,11.362648248672485,12.026826749810596
enriched,v,4.875,0.0225,POD-NN-ROM,0.710330548726291,0.0055768489837646484,24504.26796631183
enriched,v,4.875,0.0225,POD-DL-ROM,0.7517242107662911,0.004743337631225586,28810.220256345816
enriched,1,4.56,0.019,Linear PROM,0.4498214985280911,134.31848692893982,1.0
enriched,1,4.56,0.019,PROM-ANN Case 1,0.6143912636332783,16.823598623275757,7.9839331605966715
enriched,1,4.56,0.019,PROM-ANN Case 2,0.9265915808875332,5.512397050857544,24.36662049009049
enriched,1,4.56,0.019,PROM-ANN Case 3,0.6060469328320324,19.650612115859985,6.835333481572898
enriched,1,4.56,0.019,PROM-POD-AE,0.7177399888100965,14.171360492706299,9.478164569878151
enriched,1,4.56,0.019,POD-NN-ROM,0.8059276186001894,0.005247592926025391,25596.209313948206
enriched,1,4.56,0.019,POD-DL-ROM,0.8305500768775543,0.005010843276977539,26805.56535185802
enriched,2,5.19,0.026,Linear PROM,0.4632370582853612,138.91313004493713,1.0
enriched,2,5.19,0.026,PROM-ANN Case 1,0.8849458841392714,16.575058698654175,8.380852977384405
enriched,2,5.19,0.026,PROM-ANN Case 2,0.6136429194226755,5.8285744190216064,23.83312282873027
enriched,2,5.19,0.026,PROM-ANN Case 3,0.5495564243155981,18.455276489257812,7.527014299991318
enriched,2,5.19,0.026,PROM-POD-AE,1.032961905689561,14.109884977340698,9.845093015855202
enriched,2,5.19,0.026,POD-NN-ROM,0.7843540668147867,0.0051305294036865234,27075.78869835959
enriched,2,5.19,0.026,POD-DL-ROM,0.821609731137083,0.004483938217163086,30980.161482426756
