level,method,point,state_error_percent,coefficient_error_percent,q_source
baseline,linear,verification,0.4103876436595169,0.0,euclidean_hprom_main/Runs/Linear/linear_hprom_mu1_4.875_mu2_0.0225_ntot151/qN.npy
baseline,linear,offgrid1,0.449823818711427,0.0,euclidean_hprom_main/Runs/Linear/linear_hprom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
baseline,linear,offgrid2,0.4632381358945413,0.0,euclidean_hprom_main/Runs/Linear/linear_hprom_mu1_5.190_mu2_0.0260_ntot151/qN.npy
baseline,linear,extrapolation20pct,0.849888467909238,0.0,euclidean_hprom_main/Runs/Linear/linear_hprom_mu1_4.000_mu2_0.0330_ntot151/qN.npy
baseline,case1,verification,0.41383004887915464,0.2839041363916962,euclidean_hprom_main/Runs/HPROM_ANN_C1/case1_hprom_ann_mu1_4.875_mu2_0.0225_n10_ntot151_qN.npy
baseline,case1,offgrid1,0.5338099760043475,0.7293480547615969,euclidean_hprom_main/Runs/HPROM_ANN_C1/case1_hprom_ann_mu1_4.560_mu2_0.0190_n10_ntot151_qN.npy
baseline,case1,offgrid2,0.7102341122469695,1.309868212489004,euclidean_hprom_main/Runs/HPROM_ANN_C1/case1_hprom_ann_mu1_5.190_mu2_0.0260_n10_ntot151_qN.npy
baseline,case1,extrapolation20pct,1.6713260773056107,3.287116000905954,euclidean_hprom_main/Runs/HPROM_ANN_C1/case1_hprom_ann_mu1_4.000_mu2_0.0330_n10_ntot151_qN.npy
baseline,case2,verification,1.0564573895345402,2.3888446513076853,euclidean_hprom_main/Runs/HPROM_ANN_C2/case2_hprom_ann_mu1_4.875_mu2_0.0225_n10_ntot151_qN.npy
baseline,case2,offgrid1,1.9426849134240938,4.449773349017611,euclidean_hprom_main/Runs/HPROM_ANN_C2/case2_hprom_ann_mu1_4.560_mu2_0.0190_n10_ntot151_qN.npy
baseline,case2,offgrid2,1.8623296074298907,4.163401067149991,euclidean_hprom_main/Runs/HPROM_ANN_C2/case2_hprom_ann_mu1_5.190_mu2_0.0260_n10_ntot151_qN.npy
baseline,case2,extrapolation20pct,2.801427015227842,6.450710697075077,euclidean_hprom_main/Runs/HPROM_ANN_C2/case2_hprom_ann_mu1_4.000_mu2_0.0330_n10_ntot151_qN.npy
baseline,b3,verification,0.4158972811563344,0.11053531988252396,euclidean_hprom_main/Stage4/case2_b3/reporting_positive_fit4096_hprom3_p0_steps500/qN.npy
baseline,b3,offgrid1,0.45448109623691363,0.26165526794890526,euclidean_hprom_main/Stage4/case2_b3/reporting_positive_fit4096_hprom3_p1_steps500/qN.npy
baseline,b3,offgrid2,0.49546803981248155,0.35658011789043653,euclidean_hprom_main/Stage4/case2_b3/reporting_positive_fit4096_hprom3_p2_steps500/qN.npy
baseline,b3,extrapolation20pct,0.8449538055846875,0.3363500275821262,euclidean_hprom_main/Stage4/case2_b3/reporting_positive_fit4096_hprom3_p3_steps500/qN.npy
baseline,case3,verification,0.40742965401697795,0.21787834278165336,euclidean_hprom_main/Runs/HPROM_ANN_C3/case3_hprom_ann_mu1_4.875_mu2_0.0225_n10_ntot151_qN.npy
baseline,case3,offgrid1,0.5116197136743987,0.7141047507799233,euclidean_hprom_main/Runs/HPROM_ANN_C3/case3_hprom_ann_mu1_4.560_mu2_0.0190_n10_ntot151_qN.npy
baseline,case3,offgrid2,0.5620389570824057,0.7938274492946539,euclidean_hprom_main/Runs/HPROM_ANN_C3/case3_hprom_ann_mu1_5.190_mu2_0.0260_n10_ntot151_qN.npy
baseline,case3,extrapolation20pct,1.515076432954065,2.6224205986303164,euclidean_hprom_main/Runs/HPROM_ANN_C3/case3_hprom_ann_mu1_4.000_mu2_0.0330_n10_ntot151_qN.npy
baseline,podae,verification,0.4291623622341301,0.49486547682405485,euclidean_hprom_main/Runs/HPROM_POD_AE/podae_hprom_mu1_4.875_mu2_0.0225_ntot151_nz10_qN.npy
baseline,podae,offgrid1,0.5992990916679419,1.0979261248813883,euclidean_hprom_main/Runs/HPROM_POD_AE/podae_hprom_mu1_4.560_mu2_0.0190_ntot151_nz10_qN.npy
baseline,podae,offgrid2,0.719136011498798,1.3186823152254463,euclidean_hprom_main/Runs/HPROM_POD_AE/podae_hprom_mu1_5.190_mu2_0.0260_ntot151_nz10_qN.npy
baseline,podae,extrapolation20pct,1.801172717837192,3.856909315335754,euclidean_hprom_main/Runs/HPROM_POD_AE/podae_hprom_mu1_4.000_mu2_0.0330_ntot151_nz10_qN.npy
baseline,podnn,verification,1.0730743005507113,2.4367723997863093,euclidean_hprom_main/Runs/PODNN_ROM/rom_data_driven_mu1_4.875_mu2_0.0225_ntot151/qN.npy
baseline,podnn,offgrid1,1.8558025116521846,4.236760750839638,euclidean_hprom_main/Runs/PODNN_ROM/rom_data_driven_mu1_4.560_mu2_0.0190_ntot151/qN.npy
baseline,podnn,offgrid2,2.1749104349092505,4.902311928606917,euclidean_hprom_main/Runs/PODNN_ROM/rom_data_driven_mu1_5.190_mu2_0.0260_ntot151/qN.npy
baseline,podnn,extrapolation20pct,5.101776366964661,11.977555855233506,euclidean_hprom_main/Runs/PODNN_ROM/rom_data_driven_mu1_4.000_mu2_0.0330_ntot151/qN.npy
baseline,poddl,verification,0.7715852635048019,1.670441377037139,euclidean_hprom_main/Runs/PODDL_ROM/pod_dl_data_driven_mu1_4.875_mu2_0.0225_ntot151_nz10/qN.npy
baseline,poddl,offgrid1,1.1259950098135307,2.4869722105358916,euclidean_hprom_main/Runs/PODDL_ROM/pod_dl_data_driven_mu1_4.560_mu2_0.0190_ntot151_nz10/qN.npy
baseline,poddl,offgrid2,1.3537627356546313,2.986954720607206,euclidean_hprom_main/Runs/PODDL_ROM/pod_dl_data_driven_mu1_5.190_mu2_0.0260_ntot151_nz10/qN.npy
baseline,poddl,extrapolation20pct,2.2890890658560066,5.16503077218772,euclidean_hprom_main/Runs/PODDL_ROM/pod_dl_data_driven_mu1_4.000_mu2_0.0330_ntot151_nz10/qN.npy
lhs8,linear,verification,0.4103876436595169,0.0,euclidean_hprom_main/Runs/Linear/linear_hprom_mu1_4.875_mu2_0.0225_ntot151/qN.npy
