case,point,mu1,mu2,n_primary,n_tot,requested_secondary_error_percent,actual_secondary_error_percent,reference_secondary_error_percent,ann_secondary_error_percent,state_error_percent_vs_hdm,state_error_percent_vs_linear_prom,primary_q_error_percent_vs_linear_prom,total_q_error_percent_vs_linear_prom,n_time_used,online_solve_elapsed_s,num_iterations,jac_time_s,res_time_s,ls_time_s,native_ann_reproduction_max_abs
case1,extrapolation20pct,4.0,0.033,10,151,0.0,0.0014284308538013311,0.0,10.537524265741656,0.867529666673764,0.00012904155337155454,0.0001615241376338633,0.00031120152934181614,501,237.01518043782562,1996,148.35955166816711,3.3211326599121094,25.8701114654541,0.0
case1,extrapolation20pct,4.0,0.033,10,151,10.0,9.708120641354043,10.000000000000005,10.537524265741656,1.532248194149974,1.173547383410453,2.1325124849630033,2.7746106031001543,501,203.87404322298244,1733,123.83195304870605,2.6940741539001465,23.971763849258423,0.0
case1,extrapolation20pct,4.0,0.033,10,151,10.537524265742,10.235973134657469,10.537524265742002,10.537524265741656,1.5840263900003462,1.236237839041085,2.244975303404569,2.9228876375242696,501,200.31664555845782,1728,122.41193175315857,2.6992430686950684,22.02253770828247,0.0
case1,extrapolation20pct,4.0,0.033,10,151,15.0,14.634863192393777,15.000000000000005,10.537524265741656,2.029592619525602,1.749031862574179,3.152052874224144,4.136402276168928,501,192.57666880264878,1670,114.8576352596283,2.600511312484741,23.553058385849,0.0
case1,extrapolation20pct,4.0,0.033,10,151,1.0,0.9602912275369496,1.0000000000000002,10.537524265741656,0.8886971142505312,0.1165185372515208,0.21234205237553588,0.2754952337104212,501,233.9561154488474,1996,147.348774433136,3.313218355178833,28.47663712501526,0.0
case1,extrapolation20pct,4.0,0.033,10,151,20.0,19.586625790652267,20.00000000000001,10.537524265741656,2.5358548321063274,2.3006810240285724,4.092207309772227,5.4436884886556225,501,188.86453666817397,1633,112.81964945793152,2.542104959487915,22.928717136383057,0.0
case1,extrapolation20pct,4.0,0.033,10,151,30.0,29.511887699315242,30.00000000000001,10.537524265741656,3.498962452325296,3.312901259343541,5.670685948620072,7.849883861634241,501,186.43527586525306,1595,109.01587247848511,2.43627667427063,22.2050940990448,0.0
case1,extrapolation20pct,4.0,0.033,10,151,3.0,2.8880119025066624,3.0000000000000018,10.537524265741656,0.9723500658777063,0.35074498812545024,0.6395577344775494,0.8292426434650897,501,226.618861196097,1948,144.26974892616272,3.3103067874908447,27.93415117263794,0.0
case1,extrapolation20pct,4.0,0.033,10,151,50.0,49.8845402947964,50.000000000000014,10.537524265741656,5.1906092295726705,5.041833530808251,7.645546690110821,11.992182444968732,501,176.58700874634087,1570,107.40488958358765,2.34991192817688,18.228728532791138,0.0
case1,extrapolation20pct,4.0,0.033,10,151,5.0,4.825336612324073,5.000000000000003,10.537524265741656,1.1002680372771678,0.5860124909977316,1.0684605257673068,1.38542053226986,501,219.38652074104175,1889,138.38590383529663,3.0611732006073,24.309316635131836,0.0
case1,offgrid1,4.56,0.019,10,151,0.0,0.005165654730609367,0.0,2.479017451916012,0.45948515476175666,0.0005421393156061858,0.0006443393050936909,0.0012823915370163157,501,229.06721582217142,1954,145.1018636226654,3.1972575187683105,27.662375450134277,0.0
case1,offgrid1,4.56,0.019,10,151,10.0,9.708531035513266,9.999999999999998,2.479017451916012,1.1035938068680866,1.0130420610816615,1.2022857117485404,2.406015836772808,501,222.73305175686255,1705,127.89974784851074,2.957366943359375,23.145461559295654,0.0
case1,offgrid1,4.56,0.019,10,151,15.0,14.64833748105279,14.999999999999996,2.479017451916012,1.5756499972256948,1.5196541123064031,1.7723963802915466,3.6105704290638827,501,205.9745510807261,1622,118.29918336868286,2.665376663208008,20.551106929779053,0.0
case1,offgrid1,4.56,0.019,10,151,1.0,0.9567374170681743,0.9999999999999997,2.479017451916012,0.4687840819239151,0.10051228061074269,0.12160480800743728,0.23860636929488774,501,226.66204106993973,1945,143.7528600692749,3.126878499984741,27.505043506622314,0.0
case1,offgrid1,4.56,0.019,10,151,20.0,19.51251248880376,19.999999999999996,2.479017451916012,2.0440562638630477,2.0105848820875942,2.294378615103342,4.778701527884892,501,197.06861575786024,1564,112.48532485961914,2.5492961406707764,19.638537645339966,0.0
case1,offgrid1,4.56,0.019,10,151,2.479017451916,2.379884900368356,2.479017451916012,2.479017451916012,0.5195106690975375,0.2498466179739859,0.3016755801607876,0.5931372612671973,501,230.1167145301588,1910,139.87235927581787,3.0572211742401123,27.32199764251709,0.0
case1,offgrid1,4.56,0.019,10,151,30.0,29.020984620865747,30.0,2.479017451916012,2.9522209071516494,2.9517898250129027,3.215338085333496,7.019225786313632,501,199.75993851199746,1519,108.96029615402222,2.560985565185547,20.189306259155273,0.0
case1,offgrid1,4.56,0.019,10,151,3.0,2.88239060320898,2.9999999999999996,2.479017451916012,0.5460227814855745,0.3025067961973451,0.3649465286216758,0.7181695467819703,501,239.03185513569042,1898,144.66922640800476,3.279210090637207,25.790217399597168,0.0
case1,offgrid1,4.56,0.019,10,151,50.0,48.23198458293523,49.99999999999999,2.479017451916012,4.777750384557175,4.813593289685254,4.845641691962655,11.456487141837217,501,198.46373122511432,1504,107.10293674468994,2.5162787437438965,19.906638622283936,0.0
case1,offgrid1,4.56,0.019,10,151,5.0,4.818254248055017,4.999999999999999,2.479017451916012,0.6768076143598841,0.5049802974305687,0.60688690237346,1.1989750918123083,501,236.4265566500835,1799,137.4619812965393,3.2072463035583496,24.94585347175598,0.0
case1,offgrid2,5.19,0.026,10,151,0.0,0.008019746988342274,0.0,4.148821493105522,0.4716562251157982,0.0007962921978406794,0.000890012756238326,0.0018683375382797136,501,253.65459880884737,1947,151.9004909992218,3.4470694065093994,26.88120150566101,0.0
case1,offgrid2,5.19,0.026,10,151,10.0,13.69370286760503,10.0,4.148821493105522,1.3954361998772498,1.3781943694201477,1.5545760912614346,3.2062352844600737,501,245.08530233893543,1834,140.953599691391,3.173430919647217,28.022107124328613,0.0
case1,offgrid2,5.19,0.026,10,151,15.0,20.60611531106198,15.0,4.148821493105522,2.0524972290840817,2.063895767570297,2.2915857000048367,4.802724050619892,501,215.1940355100669,1761,128.3700361251831,2.905374765396118,23.820051670074463,0.0
case1,offgrid2,5.19,0.026,10,151,1.0,1.2920986498536033,0.9999999999999999,4.148821493105522,0.4736327344792724,0.13145226143139757,0.15378842072631882,0.30589008188552863,501,263.7500098622404,1946,154.31263995170593,3.712193012237549,30.928073167800903,0.0
case1,offgrid2,5.19,0.026,10,151,20.0,27.118123871621247,20.000000000000004,4.148821493105522,2.6802455942329537,2.7058800739797033,2.968342985220638,6.298956981249729,501,200.9771224311553,1693,118.23626565933228,2.616514205932617,23.851022005081177,0.0
case1,offgrid2,5.19,0.026,10,151,30.0,38.84805226027893,30.0,4.148821493105522,3.8176481452835502,3.8575861833776863,4.168034905996832,8.985843362827898,501,179.97077102726325,1571,106.94300484657288,2.3697192668914795,19.334892511367798,0.0
case1,offgrid2,5.19,0.026,10,151,3.0,3.9400418495367946,3.0,4.148821493105522,0.5784027792057325,0.39993434735056893,0.46424916868121824,0.9305058576589158,501,273.4294183468446,1936,153.9429647922516,3.8909249305725098,36.484750270843506,0.0
case1,offgrid2,5.19,0.026,10,151,4.148821493106,5.5013450798684005,4.148821493106001,4.148821493105522,0.682613592579868,0.5576142411404696,0.6441410669114149,1.2972917227109253,501,260.1691435193643,1927,151.80383205413818,3.7080371379852295,30.29909896850586,0.0
case1,offgrid2,5.19,0.026,10,151,50.0,58.66073869531847,50.000000000000014,4.148821493105522,5.776331477477623,5.82377923682201,6.330029699907745,13.584814271295715,501,176.56806854670867,1500,100.19795775413513,2.190025806427002,20.274333715438843,0.0
case1,offgrid2,5.19,0.026,10,151,5.0,6.674051056381801,5.000000000000001,4.148821493105522,0.7725035400768329,0.675750592761452,0.7777652643274826,1.5720826255386424,501,251.48387168627232,1916,149.5218243598938,3.440030574798584,26.467653036117554,0.0
case1,verification,4.875,0.0225,10,151,0.0,0.005540461504791804,0.0,1.0531463412881696,0.4129855363743969,0.0005568817998514363,0.0006482960739085777,0.0013350651517804225,501,243.8287140838802,1957,149.54244208335876,3.4193859100341797,28.223700523376465,0.0
