method_key,method_label,mu1,mu2,time_seconds,relative_error_percent,status,note
hprom,HPROM,4.56,0.019,49.75642418861389,1.0959650043017064,ok,
hprom,HPROM,4.75,0.02,42.05955958366394,1.0010785372342625,ok,
hprom,HPROM,5.19,0.026,41.910425901412964,0.992747169007552,ok,
hqprom,HQPROM,4.56,0.019,51.67455434799194,0.9326215750347047,ok,
hqprom,HQPROM,4.75,0.02,54.15093660354614,0.8490085490182301,ok,
hqprom,HQPROM,5.19,0.026,54.084333658218384,0.8315396802129575,ok,
hprom_gpr,HPROM-GPR,4.56,0.019,22.371511936187744,0.845255073929153,ok,
hprom_gpr,HPROM-GPR,4.75,0.02,22.158649921417236,0.5388667053599752,ok,
hprom_gpr,HPROM-GPR,5.19,0.026,22.302850246429443,0.6878754962226179,ok,
hprom_dl,HPROM-DL,4.56,0.019,28.75053310394287,1.4217494768916816,ok,
hprom_dl,HPROM-DL,4.75,0.02,11.400020599365234,1.1634222289759226,ok,
hprom_dl,HPROM-DL,5.19,0.026,11.562702178955078,0.9901820868122986,ok,
local_hprom,Local HPROM,4.56,0.019,11.608007907867432,0.9560528189385323,ok,
local_hprom,Local HPROM,4.75,0.02,11.896989583969116,0.9286581130124116,ok,
local_hprom,Local HPROM,5.19,0.026,12.09739089012146,0.7155183710666186,ok,
local_hqprom,Local HQPROM,4.56,0.019,15.2783784866333,0.409044400784266,ok,
local_hqprom,Local HQPROM,4.75,0.02,15.879892826080322,0.3767165294365355,ok,
local_hqprom,Local HQPROM,5.19,0.026,16.257479429244995,0.9288093819817341,ok,
local_hprom_gpr,Local HPROM-GPR,4.56,0.019,14.09796667098999,0.800958439887998,ok,
local_hprom_gpr,Local HPROM-GPR,4.75,0.02,14.073073863983154,0.34130403586267916,ok,
local_hprom_gpr,Local HPROM-GPR,5.19,0.026,15.762691259384155,0.6694132597076878,ok,
